"Sample1","Sample2","Distance","Study1","Study2"
499734,455521,0.166174231571079,"SDY315","SDY113"
499735,455521,0.178453494229157,"SDY315","SDY113"
499736,455521,0.199137366577435,"SDY315","SDY113"
499737,455521,0.152996881063749,"SDY315","SDY113"
499738,455521,0.142723461916404,"SDY315","SDY113"
499739,455521,0.16102670788911,"SDY315","SDY113"
499740,455521,0.158720057512278,"SDY315","SDY113"
499742,455521,0.160202336306936,"SDY315","SDY113"
499744,455521,0.175838099152035,"SDY315","SDY113"
499745,455521,0.178318874804357,"SDY315","SDY113"
499746,455521,0.172439184097531,"SDY315","SDY113"
499747,455521,0.162960251048925,"SDY315","SDY113"
499748,455521,0.178378391374907,"SDY315","SDY113"
499749,455521,0.171765056016835,"SDY315","SDY113"
504089,455521,0.256315008846912,"SDY112","SDY113"
504091,455521,0.232978528347981,"SDY112","SDY113"
504092,455521,0.265028915783295,"SDY112","SDY113"
504093,455521,0.260881494344534,"SDY112","SDY113"
504094,455521,0.28885304052273,"SDY112","SDY113"
504095,455521,0.266664280204969,"SDY112","SDY113"
504096,455521,0.255671177153502,"SDY112","SDY113"
504097,455521,0.284660783221177,"SDY112","SDY113"
504098,455521,0.277688887214437,"SDY112","SDY113"
504099,455521,0.286318087347633,"SDY112","SDY113"
504100,455521,0.235785056518392,"SDY112","SDY113"
504101,455521,0.245348115098685,"SDY112","SDY113"
504102,455521,0.270664203355064,"SDY112","SDY113"
504103,455521,0.288179173558614,"SDY112","SDY113"
504104,455521,0.26151797235008,"SDY112","SDY113"
504105,455521,0.254707540081421,"SDY112","SDY113"
504106,455521,0.323748936232663,"SDY112","SDY113"
504107,455521,0.248872197156619,"SDY112","SDY113"
504108,455521,0.257871576911242,"SDY112","SDY113"
504109,455521,0.207182067655858,"SDY112","SDY113"
504110,455521,0.262589365705951,"SDY112","SDY113"
504111,455521,0.27856789914343,"SDY112","SDY113"
504112,455521,0.231685870561198,"SDY112","SDY113"
504113,455521,0.250006860741184,"SDY112","SDY113"
504114,455521,0.299997515598039,"SDY112","SDY113"
504115,455521,0.255905655511354,"SDY112","SDY113"
504116,455521,0.277197218241277,"SDY112","SDY113"
504117,455521,0.25856538424596,"SDY112","SDY113"
504118,455521,0.251446571978276,"SDY112","SDY113"
504119,455521,0.256478827783138,"SDY112","SDY113"
504120,455521,0.254772307130417,"SDY112","SDY113"
504121,455521,0.28995677403063,"SDY112","SDY113"
504122,455521,0.244064772924171,"SDY112","SDY113"
504123,455521,0.275225811463492,"SDY112","SDY113"
504124,455521,0.27826355162808,"SDY112","SDY113"
504125,455521,0.263788009157229,"SDY112","SDY113"
504126,455521,0.297873759913119,"SDY112","SDY113"
504127,455521,0.260870937215806,"SDY112","SDY113"
504128,455521,0.291401178116225,"SDY112","SDY113"
504129,455521,0.296886703865541,"SDY112","SDY113"
504130,455521,0.287564199657062,"SDY112","SDY113"
504131,455521,0.291103181327587,"SDY112","SDY113"
504132,455521,0.29334814273509,"SDY112","SDY113"
504133,455521,0.25175232022778,"SDY112","SDY113"
504134,455521,0.289999775753998,"SDY112","SDY113"
504135,455521,0.266128196075657,"SDY112","SDY113"
504136,455521,0.287884990871586,"SDY112","SDY113"
504137,455521,0.282772480426257,"SDY112","SDY113"
