"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Top 10%",2,21,0.79366575694636,0.655952380952381,0.657142857142857,0.654761904761905,0.00263419186229143,"347, 276"
"Top 10%",2,22,0.861707702919772,0.685714285714286,0.635714285714286,0.685714285714286,0.00262493440291316,"307, 739"
"Top 10%",2,23,0.852313169008079,0.652380952380952,0.644047619047619,0.611904761904762,0.00257636583561132,"586, 264"
"Top 10%",2,24,0.878037575013398,0.711904761904762,0.747619047619048,0.525,0.00260969888236097,"89, 347"
"Top 10%",2,25,0.866476057479656,0.65952380952381,0.764285714285714,0.575,0.00310861805752444,"739, 791"
"Top 10%",2,26,0.863723218683129,0.767857142857143,0.786904761904762,0.688095238095238,0.00278097101806281,"501, 264"
"Top 10%",2,27,0.610526323239193,0.728571428571429,0.757142857142857,0.654761904761905,0.0025645920925959,"307, 791"
"Top 10%",2,28,0.854241544979575,0.682142857142857,0.752380952380953,0.589285714285714,0.00277190599005172,"804, 347"
"Top 10%",2,29,0.849041508641743,0.678571428571428,0.676190476190476,0.655952380952381,0.00260620069806685,"586, 276"
"Top 10%",2,30,0.875388130549851,0.689285714285715,0.66547619047619,0.678571428571428,0.00306891061274543,"804, 89"
"Top 10%",2,31,0.854299206876705,0.73452380952381,0.710714285714286,0.695238095238095,0.00278140153116482,"591, 501"
"Top 10%",2,32,0.85212318110506,0.632142857142857,0.711904761904762,0.577380952380952,0.00287352042267079,"804, 591"
"Top 10%",2,33,0.859961132966204,0.677380952380952,0.669047619047619,0.591666666666666,0.00264031015034618,"347, 264"
"Top 10%",2,34,0.610526323239193,0.728571428571429,0.757142857142857,0.654761904761905,0.0025645920925959,"791, 307"
"Top 10%",2,35,0.610526323239193,0.728571428571429,0.757142857142857,0.654761904761905,0.0025645920925959,"307, 791"
"Top 10%",2,36,0.834946693137588,0.725,0.646428571428571,0.689285714285715,0.00297149488853328,"501, 791"
"Top 10%",2,37,0.813128368396299,0.713095238095238,0.529761904761905,0.707142857142857,0.00249993388241054,"737, 264"
"Top 10%",2,38,0.813128368396299,0.713095238095238,0.529761904761905,0.707142857142857,0.00249993388241054,"264, 737"
"Top 10%",2,39,0.861707702919772,0.685714285714286,0.635714285714286,0.685714285714286,0.00262493440291316,"739, 307"
"Top 10%",2,40,0.865580491886299,0.76547619047619,0.747619047619048,0.634523809523809,0.00272290225396498,"276, 264"
"Top 10%",2,41,0.77614138776294,0.455952380952381,0.636904761904762,0.459523809523809,0.00289755812792388,"791, 737"
"Top 10%",2,42,0.848020801205822,0.707142857142857,0.75952380952381,0.64047619047619,0.00257759777894442,"586, 737"
"Top 10%",2,43,0.866186381769803,0.635714285714286,0.691666666666667,0.605952380952381,0.00253582014053606,"501, 586"
"Top 10%",2,44,0.852607519587945,0.682142857142857,0.685714285714286,0.541666666666667,0.00316514384098878,"89, 591"
"Top 10%",2,45,0.865753744779993,0.771428571428571,0.75952380952381,0.641666666666667,0.00280945927114821,"347, 791"
"Top 10%",2,46,0.861707702919772,0.685714285714286,0.635714285714286,0.685714285714286,0.00262493440291316,"739, 307"
"Top 10%",2,47,0.848020801205822,0.707142857142857,0.75952380952381,0.64047619047619,0.00257759777894442,"737, 586"
"Top 10%",2,48,0.77614138776294,0.455952380952381,0.636904761904762,0.459523809523809,0.00289755812792388,"737, 791"
"Top 10%",2,49,0.840420171806396,0.652380952380952,0.671428571428571,0.64047619047619,0.00291242627682283,"347, 591"
"Top 10%",2,50,0.839905505136943,0.647619047619047,0.752380952380953,0.567857142857143,0.00298861875995367,"89, 307"
"Top 10%",2,51,0.852654759838151,0.829761904761905,0.773809523809524,0.723809523809524,0.00267500999344658,"804, 586"
"Top 10%",2,52,0.853630675266687,0.720238095238095,0.736904761904762,0.682142857142857,0.0029890034940646,"264, 804"
"Top 10%",2,53,0.883526549344048,0.572619047619047,0.588095238095238,0.573809523809524,0.00286312751093596,"307, 276"
"Top 10%",2,54,0.883526549344048,0.572619047619047,0.588095238095238,0.573809523809524,0.00286312751093596,"276, 307"
"Top 10%",2,55,0.853630675266687,0.720238095238095,0.736904761904762,0.682142857142857,0.0029890034940646,"264, 804"
"Top 10%",2,56,0.795976591760061,0.660714285714286,0.648809523809524,0.639285714285714,0.00276598027404305,"501, 737"
"Top 10%",2,57,0.880476943406251,0.598809523809524,0.592857142857143,0.584523809523809,0.00271841678800424,"89, 264"
"Top 10%",2,58,0.866025063176507,0.755952380952381,0.736904761904762,0.727380952380952,0.0026751123853913,"737, 89"
"Top 10%",2,59,0.880950265436332,0.642857142857143,0.620238095238095,0.628571428571429,0.0028176554635158,"739, 264"
"Top 10%",2,60,0.834946693137588,0.725,0.646428571428571,0.689285714285715,0.00297149488853328,"791, 501"
"Top 10%",2,61,0.862886114776108,0.673809523809524,0.652380952380952,0.664285714285714,0.00293561793390137,"501, 89"
"Top 10%",2,62,0.856324968353672,0.723809523809524,0.626190476190476,0.705952380952381,0.00282286127976823,"737, 307"
"Top 10%",2,63,0.835438856706954,0.710714285714286,0.741666666666667,0.658333333333333,0.00251878911056524,"347, 737"
"Top 10%",2,64,0.86353629706026,0.653571428571429,0.594047619047619,0.646428571428572,0.00274676916504157,"264, 307"
"Top 10%",2,65,0.857399105988769,0.675,0.595238095238095,0.678571428571428,0.00276662037268409,"276, 804"
"Top 10%",2,66,0.863723218683129,0.767857142857143,0.786904761904762,0.688095238095238,0.00278097101806281,"264, 501"
"Top 10%",2,67,0.848020801205822,0.707142857142857,0.75952380952381,0.64047619047619,0.00257759777894442,"586, 737"
"Top 10%",2,68,0.84903424613259,0.804761904761905,0.688095238095238,0.796428571428572,0.00286574013290484,"89, 276"
"Top 10%",2,69,0.859961132966204,0.677380952380952,0.669047619047619,0.591666666666666,0.00264031015034618,"347, 264"
"Top 10%",2,70,0.841163959261561,0.708333333333333,0.726190476190476,0.663095238095238,0.00310379533439426,"264, 591"
"Top 10%",2,71,0.863881029174039,0.59047619047619,0.677380952380952,0.591666666666666,0.00274777595497226,"501, 307"
"Top 10%",2,72,0.872456600946249,0.678571428571429,0.791666666666667,0.616666666666667,0.00277419118454001,"791, 804"
"Top 10%",2,73,0.842321108997241,0.738095238095238,0.682142857142857,0.689285714285714,0.00260736150857508,"739, 737"
"Top 10%",2,74,0.813128368396299,0.713095238095238,0.529761904761905,0.707142857142857,0.00249993388241054,"737, 264"
"Top 10%",2,75,0.881448063057324,0.584523809523809,0.620238095238095,0.575,0.00279752906307843,"739, 586"
"Top 10%",2,76,0.863881029174039,0.59047619047619,0.677380952380952,0.591666666666666,0.00274777595497226,"307, 501"
"Top 10%",2,77,0.843963882531449,0.788095238095238,0.755952380952381,0.663095238095238,0.00307809557198735,"307, 591"
"Top 10%",2,78,0.858318309179448,0.751190476190476,0.607142857142857,0.739285714285714,0.00273762070927396,"347, 586"
"Top 10%",2,79,0.852607519587945,0.682142857142857,0.685714285714286,0.541666666666667,0.00316514384098878,"89, 591"
"Top 10%",2,80,0.841267887474507,0.65952380952381,0.746428571428572,0.478571428571428,0.00291943021374006,"791, 264"
"Top 10%",2,81,0.863881029174039,0.59047619047619,0.677380952380952,0.591666666666666,0.00274777595497226,"307, 501"
"Top 10%",2,82,0.813128368396299,0.713095238095238,0.529761904761905,0.707142857142857,0.00249993388241054,"737, 264"
"Top 10%",2,83,0.865580491886299,0.76547619047619,0.747619047619048,0.634523809523809,0.00272290225396498,"276, 264"
"Top 10%",2,84,0.843963882531449,0.788095238095238,0.755952380952381,0.663095238095238,0.00307809557198735,"591, 307"
