"tier","n_ref","repeat_id","auc_both","auc_prop","auc_mean","recon_mse","mean_r2","mean_cv","mean_sd_change","ref_samples"
"Bottom 10%",2,12,0.906084656084656,0.92989417989418,0.858465608465608,0.00481268537926673,0.453506079595756,0.882510624079871,0.0140317102037156,"521456, 521458"
"Bottom 10%",2,13,0.883597883597883,0.854497354497355,0.871693121693122,0.00405415996713061,0.447995032953721,0.892259162993832,0.011370002661638,"521472, 521441"
"Bottom 10%",2,14,0.685185185185185,0.794973544973545,0.666666666666667,0.00440645303172244,0.495034337104035,0.877313064562754,0.0130926099213733,"499738, 511100"
"Bottom 10%",2,15,0.892857142857143,0.880952380952381,0.924603174603175,0.00511647821987658,0.495363938743675,0.845518930130703,0.0173420461133294,"521474, 521439"
"Bottom 10%",2,16,0.837301587301587,0.821428571428571,0.80026455026455,0.00473476349319593,0.517336963559445,0.861585651806006,0.0152794125156428,"521475, 499719"
"Bottom 10%",2,17,0.798941798941799,0.826719576719576,0.744708994708995,0.00436426343608135,0.467279045120911,0.872739909108666,0.014779059089303,"499737, 521895"
"Bottom 10%",2,18,0.880952380952381,0.834656084656084,0.809523809523809,0.00483756940691202,0.479664335014135,0.84455538360284,0.0167139865871414,"499701, 455930"
"Bottom 10%",2,19,0.920634920634921,0.865079365079365,0.908730158730159,0.00466533693730323,0.495236960848006,0.855950203572346,0.0159815916346764,"521456, 499738"
"Bottom 10%",2,20,0.911375661375661,0.808201058201058,0.867724867724867,0.00519216674186926,0.46733659091069,0.853766452217052,0.0168451399579054,"499719, 499704"
"Bottom 10%",2,21,0.917989417989418,0.898148148148148,0.931216931216931,0.00448650852759859,0.470878950101209,0.88125428367086,0.0127309465924764,"511100, 521442"
"Bottom 10%",2,22,0.914021164021164,0.87962962962963,0.876984126984127,0.00518203082783868,0.465405174658547,0.862304596008202,0.0175758383448358,"521975, 504129"
"Bottom 10%",2,23,0.878306878306878,0.788359788359788,0.884920634920634,0.00450485540650449,0.463049551328922,0.874590466668874,0.0144400759434154,"499735, 521895"
"Bottom 10%",2,24,0.871693121693122,0.91005291005291,0.585978835978836,0.00400664045388755,0.42864824203286,0.881272914536627,0.0121246036092796,"521455, 499738"
"Bottom 10%",2,25,0.837301587301587,0.765873015873015,0.837301587301587,0.00522171501479686,0.443987720122327,0.850539164305508,0.0161901905807799,"499734, 499682"
"Bottom 10%",2,26,0.919312169312169,0.89021164021164,0.925925925925926,0.00445152828754725,0.492321435653927,0.884158219506709,0.0116058552568948,"521442, 521472"
"Bottom 10%",2,27,0.726190476190476,0.891534391534392,0.517195767195767,0.00443807004337702,0.441732552106486,0.856922983326903,0.0153955880234358,"521482, 499683"
"Bottom 10%",2,28,0.925925925925926,0.912698412698413,0.882275132275132,0.00529118464796767,0.521842924910193,0.87564319592446,0.0131188368436073,"499690, 499738"
"Bottom 10%",2,29,0.464285714285714,0.813492063492063,0.48015873015873,0.00442484189726739,0.51425751006117,0.852517019692049,0.0165504536604616,"521441, 499701"
"Bottom 10%",2,30,0.879629629629629,0.830687830687831,0.826719576719577,0.00451133682053092,0.456898843553518,0.864904985009178,0.0146188820585862,"499734, 521480"
"Bottom 10%",2,31,0.935185185185185,0.892857142857143,0.927248677248677,0.00444777695699104,0.504158625862147,0.867565965612819,0.013828150717675,"521442, 499681"
