"cells_per_sample","sample_id","ari","n_cells_actual"
2000,"171",0.527132576425968,2000
2000,"173",0.683823148283742,2000
2000,"204",0.632441260353635,2000
2000,"208",0.753158951417471,2000
2000,"211",0.637984487900056,2000
2000,"213",0.629846617337823,2000
2000,"214",0.66845190010329,2000
2000,"215",0.745903874899425,2000
2000,"223",0.663046327848927,2000
2000,"224",0.756517024945887,2000
2000,"229",0.53702616511699,2000
2000,"230",0.73117956834774,2000
2000,"231",0.719410047527355,2000
2000,"232",0.584828920711499,2000
2000,"236",0.668680825257086,2000
2000,"241",0.69223289516275,2000
2000,"245",0.704789679283389,2000
2000,"246",0.697146158843325,2000
2000,"250",0.817179306243025,2000
2000,"251",0.642395241224813,2000
2000,"255",0.67330197633542,2000
2000,"257",0.616689488192001,2000
2000,"258",0.579805888707357,2000
2000,"259",0.571967706978827,2000
2000,"260",0.712670072206733,2000
2000,"264",0.610055117345459,2000
2000,"270",0.641605718149923,2000
2000,"276",0.593664081059077,2000
2000,"288",0.647908886516294,2000
2000,"293",0.599827620793128,2000
2000,"295",0.683173277377781,2000
2000,"297",0.585668235022406,2000
2000,"307",0.618053183807571,2000
2000,"322",0.715686677989677,2000
2000,"334",0.69461059321831,2000
2000,"342",0.736519513938869,2000
2000,"347",0.585964218832789,2000
2000,"358",0.730712085042304,2000
2000,"360",0.683009092279158,2000
2000,"364",0.590435066592713,2000
2000,"373",0.675171176467293,2000
2000,"380",0.493457623697926,2000
2000,"390",0.639031954732758,2000
2000,"406",0.612634495365209,2000
2000,"409",0.64252004180156,2000
2000,"413",0.65396295593836,2000
2000,"428",0.770899133479588,2000
2000,"437",0.56950381781647,2000
2000,"440",0.643324955715706,2000
2000,"442",0.543182886174842,2000
2000,"446",0.698489143386762,2000
2000,"465",0.704163696646995,2000
2000,"501",0.601455406591604,2000
2000,"520",0.674933060910211,2000
2000,"525",0.466338895096249,2000
2000,"528",0.662924137679732,2000
2000,"551",0.878449635800281,2000
2000,"586",0.637669905644661,2000
2000,"587",0.640822633203375,2000
2000,"591",0.588442624874024,2000
2000,"603",0.614537953313577,2000
2000,"608",0.606709028564288,2000
2000,"621",0.694152028475393,2000
2000,"625",0.617234920848809,2000
2000,"628",0.59893052220334,2000
2000,"633",0.679014420813425,2000
2000,"674",0.608100330538437,2000
2000,"679",0.737085750605627,2000
2000,"702",0.537498596898509,2000
2000,"710",0.641257042510285,2000
2000,"711",0.603272423614603,2000
2000,"715",0.640694570075303,2000
2000,"717",0.62402350456397,2000
2000,"719",0.578976407523828,2000
2000,"723",0.578432136177157,2000
2000,"732",0.550317753085258,2000
2000,"737",0.573164507995103,2000
2000,"739",0.557746273662762,2000
2000,"740",0.622595207286789,2000
2000,"747",0.633896189858186,2000
2000,"750",0.525068392225224,2000
2000,"761",0.610044936737689,2000
2000,"767",0.640271976010606,2000
2000,"768",0.522666658773805,2000
2000,"770",0.649686748168708,2000
2000,"771",0.583890122512863,2000
2000,"774",0.629407731235178,2000
2000,"776",0.692872610568696,2000
2000,"777",0.566781891933644,2000
2000,"791",0.641186264454361,2000
2000,"801",0.660524644912213,2000
2000,"804",0.664814643503174,2000
2000,"805",0.658701465991827,2000
2000,"867",0.673093008972302,2000
2000,"868",0.614666521161442,2000
2000,"872",0.59352012036534,2000
2000,"880",0.500608133792054,2000
2000,"894",0.592630286050682,2000
2000,"940",0.660499423700742,2000
2000,"941",0.73992543986241,2000
3000,"87",0.83429083872216,3000
3000,"88",0.801624231269173,3000
3000,"89",0.920290652167935,3000
3000,"92",0.891267109382225,3000
3000,"96",0.823827399755252,3000
3000,"97",0.844611511468629,3000
3000,"103",0.895611846147319,3000
3000,"152",0.859945321143653,3000
3000,"154",0.892243851844741,3000
3000,"167",0.751595536104492,3000
3000,"169",0.889066678004984,3000
3000,"171",0.73292480913262,3000
3000,"173",0.909246988235868,3000
3000,"204",0.851556158613023,3000
3000,"208",0.880533639680854,3000
3000,"211",0.852666585577186,3000
3000,"213",0.872380454707659,3000
3000,"214",0.879385700496809,3000
3000,"215",0.85061315369975,3000
3000,"223",0.888550405074196,3000
3000,"224",0.897066901022885,3000
3000,"229",0.896184646693056,3000
3000,"230",0.859493120727192,3000
3000,"231",0.889897473870016,3000
3000,"232",0.908216635871373,3000
3000,"236",0.87723501504666,3000
3000,"241",0.851684475142253,3000
3000,"245",0.852317069199256,3000
3000,"246",0.88182105069181,3000
3000,"250",0.855970654100558,3000
3000,"251",0.901426691315129,3000
3000,"255",0.891020291089081,3000
3000,"257",0.90549354564293,3000
3000,"258",0.844348105708086,3000
3000,"259",0.929548732462016,3000
3000,"260",0.873757790221153,3000
3000,"264",0.855450451542608,3000
3000,"270",0.92627526847652,3000
3000,"276",0.90825367868799,3000
3000,"288",0.863927015107753,3000
3000,"293",0.872053497844974,3000
3000,"295",0.783191585370428,3000
3000,"297",0.896977001366329,3000
3000,"307",0.786842997813287,3000
3000,"322",0.838257064327545,3000
3000,"334",0.814472192035173,3000
3000,"342",0.850394468074112,3000
3000,"347",0.823198272272652,3000
3000,"358",0.904341760473462,3000
3000,"360",0.774713299931297,3000
3000,"364",0.889767359949198,3000
3000,"373",0.868919439203182,3000
3000,"380",0.776279756814151,3000
3000,"390",0.82823923720642,3000
3000,"406",0.825699599842411,3000
3000,"409",0.841983194926647,3000
3000,"413",0.838804067265191,3000
3000,"428",0.932330207507285,3000
3000,"437",0.894455708853177,3000
3000,"440",0.781734742575823,3000
3000,"442",0.848319385139277,3000
3000,"446",0.906022220928549,3000
3000,"465",0.852947103680598,3000
3000,"501",0.882595031643474,3000
3000,"520",0.842609782523442,3000
3000,"525",0.895503941826324,3000
3000,"528",0.879216148978427,3000
3000,"551",0.894973518282613,3000
3000,"586",0.870079026781699,3000
3000,"587",0.774827058959261,3000
3000,"591",0.892058621981304,3000
3000,"603",0.815992431875078,3000
3000,"608",0.941694852291466,3000
3000,"621",0.910472875136138,3000
3000,"625",0.88451110921803,3000
3000,"628",0.859969723302764,3000
3000,"633",0.894851066213699,3000
3000,"674",0.804455653716423,3000
3000,"679",0.834008120888635,3000
3000,"702",0.893826510650207,3000
3000,"710",0.855179074950654,3000
3000,"711",0.882331236730096,3000
3000,"715",0.899029130724693,3000
3000,"717",0.795104229581596,3000
3000,"719",0.829379552315577,3000
3000,"723",0.933496724884469,3000
3000,"732",0.90848262457423,3000
3000,"737",0.832433777228749,3000
3000,"739",0.84176800263119,3000
3000,"740",0.905985066774237,3000
3000,"747",0.909939468013435,3000
3000,"750",0.893252761275933,3000
3000,"761",0.863811517121305,3000
3000,"767",0.785202597079386,3000
3000,"768",0.690878354061604,3000
3000,"770",0.860372096348582,3000
3000,"771",0.715555247917688,3000
3000,"774",0.861821156960988,3000
3000,"776",0.792493952916937,3000
3000,"777",0.861671487332546,3000
3000,"791",0.859078301340472,3000
3000,"801",0.857951357120527,3000
3000,"804",0.874909877905184,3000
3000,"805",0.801779215042851,3000
3000,"867",0.822317139000437,3000
3000,"868",0.879039846033396,3000
3000,"872",0.878176901590656,3000
3000,"880",0.738935044648736,3000
3000,"894",0.84036823710355,3000
3000,"940",0.86815189727997,3000
3000,"941",0.87454109314462,3000
4000,"87",0.797809292113063,4000
4000,"88",0.668642917313261,4000
4000,"89",0.880762214222968,4000
4000,"92",0.88614995070248,4000
4000,"96",0.838050659421533,4000
4000,"97",0.753554299381779,4000
4000,"103",0.881619552384909,4000
4000,"152",0.75020801964735,4000
4000,"154",0.880479776882863,4000
4000,"167",0.688622069724125,4000
4000,"169",0.82020989569849,4000
4000,"171",0.790369374662836,4000
4000,"173",0.643519672122456,4000
4000,"204",0.662432708421861,4000
4000,"208",0.682956855043345,4000
4000,"211",0.852076366938013,4000
4000,"213",0.845730479935455,4000
4000,"214",0.753502831161364,4000
4000,"215",0.859220357395754,4000
4000,"223",0.852880969248721,4000
4000,"224",0.888889458114781,4000
4000,"229",0.851003905618274,4000
4000,"230",0.825775238719962,4000
4000,"231",0.885295004706795,4000
4000,"232",0.826534397224263,4000
4000,"236",0.881355025804219,4000
4000,"241",0.774167296227153,4000
4000,"245",0.691718905651344,4000
4000,"246",0.852755459337104,4000
4000,"250",0.868198757179536,4000
4000,"251",0.881569742838854,4000
4000,"255",0.892872970240387,4000
4000,"257",0.746844272677159,4000
4000,"258",0.797879159452514,4000
4000,"259",0.83599516173408,4000
4000,"260",0.870260340372047,4000
4000,"264",0.842131832704517,4000
4000,"270",0.883442623012162,4000
4000,"276",0.860247290318836,4000
4000,"288",0.746075774340699,4000
4000,"293",0.859056883240932,4000
4000,"295",0.714377847780644,4000
4000,"297",0.679999184800505,4000
4000,"307",0.710443247064734,4000
4000,"322",0.842443844250508,4000
4000,"334",0.694215182973933,4000
4000,"342",0.85133238269558,4000
4000,"347",0.789131155314617,4000
4000,"358",0.779259597651936,4000
4000,"360",0.629430953591909,4000
4000,"364",0.872807767748286,4000
4000,"373",0.766990981495158,4000
4000,"380",0.577843963941238,4000
4000,"390",0.732052557864826,4000
4000,"406",0.690974887181973,4000
4000,"409",0.835178184120802,4000
4000,"413",0.850156564184535,4000
4000,"428",0.925674052699792,4000
4000,"437",0.71666662898459,4000
4000,"440",0.832044482687515,4000
4000,"442",0.710238533893644,4000
4000,"446",0.871949559443822,4000
4000,"465",0.907850586281739,4000
4000,"501",0.856626362170353,4000
4000,"520",0.841505423914146,4000
4000,"525",0.739672853363271,4000
4000,"528",0.839818405261381,4000
4000,"551",0.87658115984761,4000
4000,"586",0.824014703580427,4000
4000,"587",0.606223208867276,4000
4000,"591",0.805490418276949,4000
4000,"603",0.726980265875155,4000
4000,"608",0.934879392725776,4000
4000,"621",0.885015673751671,4000
4000,"625",0.868347825113567,4000
4000,"628",0.702919799112864,4000
4000,"633",0.893960698306656,4000
4000,"674",0.816168994747211,4000
4000,"679",0.852771440478307,4000
4000,"702",0.875900381293897,4000
4000,"710",0.708349362165011,4000
4000,"711",0.733313761514758,4000
4000,"715",0.88628220510517,4000
4000,"717",0.765115451762076,4000
4000,"719",0.825602539503613,4000
4000,"723",0.90316533496916,4000
4000,"732",0.877068467686178,4000
4000,"737",0.798593775780638,4000
4000,"739",0.773342210940255,4000
4000,"740",0.884102972800191,4000
4000,"747",0.920833090367716,4000
4000,"750",0.898232520810877,4000
4000,"761",0.862050253464619,4000
4000,"767",0.645828545778029,4000
4000,"768",0.538816797962071,4000
4000,"770",0.66463602231555,4000
4000,"771",0.63615993698608,4000
4000,"774",0.856694100601159,4000
4000,"776",0.889982773661524,4000
4000,"777",0.852885655992566,4000
